Frame,BodyID,PointID,X_mm,Y_mm,Z_mm,ShoulderOpening_deg,ShoulderInclination_deg,Elbow_deg
4,0,27,-96.75,571.61,85.77,64.74,63.96,75.02
4,0,28,-65.52,614.22,92.92,64.74,63.96,75.02
4,0,29,31.37,631.5,61.49,64.74,63.96,75.02
4,0,30,-106.51,614.65,55.86,64.74,63.96,75.02
4,0,31,-84.79,632.71,-43.51,64.74,63.96,75.02
4,0,32,104.49,-947.96,26.73,64.74,63.96,75.02
4,0,33,-52.53,-952.27,-47.47,64.74,63.96,75.02
5,0,0,0.0,0.0,0.0,65.42,63.33,74.85
5,0,1,-1.62,143.95,-6.88,65.42,63.33,74.85
5,0,2,-3.91,287.87,-14.05,65.42,63.33,74.85
5,0,3,-6.21,431.8,-21.22,65.42,63.33,74.85
5,0,4,24.39,434.3,3.46,65.42,63.33,74.85
5,0,5,114.1,439.34,75.88,65.42,63.33,74.85
5,0,6,47.23,232.41,120.63,65.42,63.33,74.85
5,0,7,-14.28,31.88,160.36,65.42,63.33,74.85
5,0,8,-26.58,-8.22,168.31,65.42,63.33,74.85
5,0,9,-51.19,-88.43,184.2,65.42,63.33,74.85
5,0,10,-76.76,-43.48,142.09,65.42,63.33,74.85
5,0,11,-36.83,430.86,-45.97,65.42,63.33,74.85
5,0,12,-126.54,425.82,-118.39,65.42,63.33,74.85
5,0,13,-259.53,266.23,-40.06,65.42,63.33,74.85
5,0,14,-213.19,473.5,-18.45,65.42,63.33,74.85
5,0,15,-203.93,514.95,-14.13,65.42,63.33,74.85
5,0,16,-185.39,597.86,-5.48,65.42,63.33,74.85
5,0,17,-159.79,544.88,25.92,65.42,63.33,74.85
5,0,18,78.05,2.69,38.03,65.42,63.33,74.85
5,0,19,80.5,-446.86,57.88,65.42,63.33,74.85
5,0,20,85.32,-846.64,70.11,65.42,63.33,74.85
5,0,21,33.9,-943.93,180.98,65.42,63.33,74.85
5,0,22,-78.05,-2.69,-38.03,65.42,63.33,74.85
5,0,23,-75.6,-452.25,-18.18,65.42,63.33,74.85
5,0,24,-70.78,-852.03,-5.95,65.42,63.33,74.85
5,0,25,-122.21,-949.32,104.92,65.42,63.33,74.85
5,0,26,-86.41,531.97,61.7,65.42,63.33,74.85
5,0,27,-99.71,574.12,74.97,65.42,63.33,74.85
5,0,28,-68.76,617.14,81.7,65.42,63.33,74.85
5,0,29,28.92,634.09,51.93,65.42,63.33,74.85
5,0,30,-109.0,616.4,43.67,65.42,63.33,74.85
5,0,31,-85.1,632.01,-55.84,65.42,63.33,74.85
5,0,32,104.07,-947.48,37.23,65.42,63.33,74.85
5,0,33,-52.03,-952.87,-38.83,65.42,63.33,74.85
6,0,0,0.0,0.0,0.0,65.66,63.42,75.36
6,0,1,-1.55,143.89,-9.17,65.66,63.42,75.36
6,0,2,-3.72,287.75,-18.61,65.66,63.42,75.36
6,0,3,-5.89,431.61,-28.05,65.66,63.42,75.36
6,0,4,24.68,434.48,-3.35,65.66,63.42,75.36
6,0,5,114.71,440.62,69.54,65.66,63.42,75.36
6,0,6,46.54,233.15,113.33,65.66,63.42,75.36
6,0,7,-16.18,32.09,152.1,65.66,63.42,75.36
6,0,8,-28.72,-8.12,159.85,65.66,63.42,75.36
6,0,9,-53.81,-88.55,175.36,65.66,63.42,75.36
6,0,10,-79.01,-43.22,133.09,65.66,63.42,75.36
6,0,11,-36.47,430.31,-52.86,65.66,63.42,75.36
6,0,12,-126.5,424.17,-125.75,65.66,63.42,75.36
6,0,13,-263.32,264.58,-52.15,65.66,63.42,75.36
6,0,14,-217.13,472.4,-28.84,65.66,63.42,75.36
6,0,15,-207.89,513.96,-24.18,65.66,63.42,75.36
6,0,16,-189.41,597.08,-14.86,65.66,63.42,75.36
6,0,17,-165.1,543.89,17.64,65.66,63.42,75.36
6,0,18,78.13,3.26,37.86,65.66,63.42,75.36
6,0,19,79.66,-446.03,63.19,65.66,63.42,75.36
6,0,20,83.87,-845.66,79.83,65.66,63.42,75.36
6,0,21,32.48,-941.63,191.85,65.66,63.42,75.36
6,0,22,-78.13,-3.26,-37.86,65.66,63.42,75.36
6,0,23,-76.6,-452.54,-12.53,65.66,63.42,75.36
6,0,24,-72.38,-852.17,4.12,65.66,63.42,75.36
6,0,25,-123.78,-948.14,116.14,65.66,63.42,75.36
6,0,26,-88.02,535.04,49.02,65.66,63.42,75.36
6,0,27,-101.68,577.71,60.25,65.66,63.42,75.36
6,0,28,-70.93,621.09,65.83,65.66,63.42,75.36
6,0,29,27.41,637.06,37.36,65.66,63.42,75.36
6,0,30,-110.41,618.66,27.0,65.66,63.42,75.36
6,0,31,-84.47,630.19,-72.64,65.66,63.42,75.36
6,0,32,102.41,-946.88,48.04,65.66,63.42,75.36
6,0,33,-53.85,-953.39,-27.68,65.66,63.42,75.36
7,0,0,0.0,0.0,0.0,65.9,62.3,74.55
7,0,1,-1.64,143.86,-9.75,65.9,62.3,74.55
7,0,2,-3.88,287.7,-19.75,65.9,62.3,74.55
7,0,3,-6.12,431.54,-29.76,65.9,62.3,74.55
7,0,4,24.47,434.52,-5.1,65.9,62.3,74.55
7,0,5,114.83,441.0,67.89,65.9,62.3,74.55
7,0,6,46.76,232.98,111.18,65.9,62.3,74.55
7,0,7,-15.88,31.41,149.5,65.9,62.3,74.55
7,0,8,-28.41,-8.91,157.17,65.9,62.3,74.55
7,0,9,-53.47,-89.54,172.5,65.9,62.3,74.55
7,0,10,-78.75,-44.05,130.27,65.9,62.3,74.55
7,0,11,-36.74,430.13,-54.53,65.9,62.3,74.55
7,0,12,-127.1,423.64,-127.52,65.9,62.3,74.55
7,0,13,-263.01,263.48,-52.31,65.9,62.3,74.55
7,0,14,-218.29,472.41,-33.01,65.9,62.3,74.55
7,0,15,-209.34,514.2,-29.15,65.9,62.3,74.55
7,0,16,-191.45,597.77,-21.43,65.9,62.3,74.55
7,0,17,-167.0,545.35,12.42,65.9,62.3,74.55
7,0,18,78.25,3.44,37.6,65.9,62.3,74.55
7,0,19,79.96,-445.76,64.44,65.9,62.3,74.55
7,0,20,84.8,-845.37,81.43,65.9,62.3,74.55
7,0,21,33.9,-941.31,193.7,65.9,62.3,74.55
7,0,22,-78.25,-3.44,-37.6,65.9,62.3,74.55
7,0,23,-76.54,-452.64,-10.75,65.9,62.3,74.55
7,0,24,-71.7,-852.24,6.23,65.9,62.3,74.55
7,0,25,-122.59,-948.19,118.5,65.9,62.3,74.55
7,0,26,-87.46,537.64,44.53,65.9,62.3,74.55
7,0,27,-100.55,580.72,54.86,65.9,62.3,74.55
7,0,28,-69.14,623.69,60.06,65.9,62.3,74.55
7,0,29,29.79,637.56,32.51,65.9,62.3,74.55
7,0,30,-108.21,621.24,20.8,65.9,62.3,74.55
7,0,31,-80.89,630.6,-78.73,65.9,62.3,74.55
7,0,32,103.38,-946.59,49.67,65.9,62.3,74.55
7,0,33,-53.12,-953.47,-25.53,65.9,62.3,74.55
8,0,0,0.0,0.0,0.0,66.07,60.87,73.33
8,0,1,-1.42,144.01,-9.73,66.07,60.87,73.33
8,0,2,-3.39,288.0,-19.7,66.07,60.87,73.33
8,0,3,-5.36,431.99,-29.68,66.07,60.87,73.33
8,0,4,25.13,434.92,-4.82,66.07,60.87,73.33
8,0,5,115.79,441.29,69.24,66.07,60.87,73.33
8,0,6,45.64,233.73,113.78,66.07,60.87,73.33
8,0,7,-18.94,32.52,153.26,66.07,60.87,73.33
8,0,8,-31.86,-7.72,161.16,66.07,60.87,73.33
8,0,9,-57.69,-88.21,176.95,66.07,60.87,73.33
8,0,10,-82.39,-42.74,134.14,66.07,60.87,73.33
8,0,11,-35.87,430.63,-54.64,66.07,60.87,73.33
8,0,12,-126.53,424.27,-128.7,66.07,60.87,73.33
8,0,13,-259.69,263.0,-49.67,66.07,60.87,73.33
8,0,14,-217.41,473.29,-35.41,66.07,60.87,73.33
8,0,15,-208.95,515.35,-32.56,66.07,60.87,73.33
8,0,16,-192.03,599.47,-26.86,66.07,60.87,73.33
8,0,17,-166.69,548.05,8.13,66.07,60.87,73.33
8,0,18,78.1,3.33,37.97,66.07,60.87,73.33
8,0,19,79.67,-445.82,65.45,66.07,60.87,73.33
8,0,20,84.28,-845.4,83.31,66.07,60.87,73.33
8,0,21,32.83,-941.08,195.55,66.07,60.87,73.33
8,0,22,-78.1,-3.33,-37.97,66.07,60.87,73.33
8,0,23,-76.52,-452.49,-10.49,66.07,60.87,73.33
8,0,24,-71.91,-852.07,7.37,66.07,60.87,73.33
8,0,25,-123.36,-947.75,119.61,66.07,60.87,73.33
8,0,26,-82.51,544.96,36.02,66.07,60.87,73.33
8,0,27,-92.66,588.82,44.63,66.07,60.87,73.33
8,0,28,-58.56,628.87,51.63,66.07,60.87,73.33
8,0,29,42.22,634.03,31.9,66.07,60.87,73.33
8,0,30,-94.27,628.82,9.79,66.07,60.87,73.33
8,0,31,-58.96,633.87,-86.65,66.07,60.87,73.33
8,0,32,102.97,-946.69,51.85,66.07,60.87,73.33
8,0,33,-53.23,-953.36,-24.09,66.07,60.87,73.33
9,0,0,0.0,0.0,0.0,65.0,62.41,74.36
9,0,1,-0.09,144.31,-9.18,65.0,62.41,74.36
9,0,2,-0.73,288.61,-18.59,65.0,62.41,74.36
9,0,3,-1.38,432.91,-28.01,65.0,62.41,74.36
9,0,4,29.1,435.46,-2.99,65.0,62.41,74.36
9,0,5,119.85,440.74,71.66,65.0,62.41,74.36
9,0,6,48.28,232.6,117.02,65.0,62.41,74.36
9,0,7,-17.62,30.79,157.24,65.0,62.41,74.36
9,0,8,-30.8,-9.58,165.28,65.0,62.41,74.36
9,0,9,-57.15,-90.3,181.37,65.0,62.41,74.36
9,0,10,-81.72,-44.62,138.17,65.0,62.41,74.36
9,0,11,-31.86,431.92,-53.14,65.0,62.41,74.36
9,0,12,-122.6,426.64,-127.79,65.0,62.41,74.36
9,0,13,-257.67,262.39,-55.13,65.0,62.41,74.36
9,0,14,-212.04,472.7,-35.72,65.0,62.41,74.36
9,0,15,-202.91,514.77,-31.83,65.0,62.41,74.36
9,0,16,-184.66,598.89,-24.07,65.0,62.41,74.36
9,0,17,-160.2,546.03,10.07,65.0,62.41,74.36
9,0,18,78.13,2.47,38.15,65.0,62.41,74.36
9,0,19,77.06,-446.72,65.11,65.0,62.41,74.36
9,0,20,79.48,-846.34,82.21,65.0,62.41,74.36
9,0,21,27.35,-941.96,194.19,65.0,62.41,74.36
9,0,22,-78.13,-2.47,-38.15,65.0,62.41,74.36
9,0,23,-79.19,-451.66,-11.18,65.0,62.41,74.36
9,0,24,-76.78,-851.29,5.92,65.0,62.41,74.36
9,0,25,-128.91,-946.91,117.9,65.0,62.41,74.36
9,0,26,-72.57,548.27,40.19,65.0,62.41,74.36
9,0,27,-80.95,592.43,49.17,65.0,62.41,74.36
9,0,28,-45.3,631.27,55.19,65.0,62.41,74.36
9,0,29,54.94,633.03,32.39,65.0,62.41,74.36
9,0,30,-82.25,632.54,14.46,65.0,62.41,74.36
9,0,31,-49.75,636.64,-83.0,65.0,62.41,74.36
9,0,32,97.66,-947.68,50.58,65.0,62.41,74.36
9,0,33,-58.6,-952.63,-25.71,65.0,62.41,74.36
10,0,0,0.0,0.0,0.0,64.31,63.27,74.77
10,0,1,1.87,144.34,-9.65,64.31,63.27,74.77
10,0,2,3.53,288.68,-19.41,64.31,63.27,74.77
10,0,3,5.18,433.02,-29.17,64.31,63.27,74.77
10,0,4,35.54,435.16,-3.93,64.31,63.27,74.77
10,0,5,126.28,439.23,71.7,64.31,63.27,74.77
10,0,6,53.63,229.2,114.95,64.31,63.27,74.77
10,0,7,-13.27,25.59,153.13,64.31,63.27,74.77
10,0,8,-26.66,-15.14,160.76,64.31,63.27,74.77
10,0,9,-53.42,-96.58,176.03,64.31,63.27,74.77
10,0,10,-77.87,-50.1,132.83,64.31,63.27,74.77
10,0,11,-25.15,432.44,-54.52,64.31,63.27,74.77
10,0,12,-115.9,428.37,-130.15,64.31,63.27,74.77
10,0,13,-252.84,262.71,-58.98,64.31,63.27,74.77
10,0,14,-203.74,473.78,-38.19,64.31,63.27,74.77
10,0,15,-193.93,516.0,-34.03,64.31,63.27,74.77
10,0,16,-174.29,600.42,-25.72,64.31,63.27,74.77
10,0,17,-150.26,546.59,8.2,64.31,63.27,74.77
10,0,18,77.23,1.63,39.35,64.31,63.27,74.77
10,0,19,71.11,-447.43,67.71,64.31,63.27,74.77
10,0,20,69.38,-847.03,85.65,64.31,63.27,74.77
10,0,21,14.42,-941.89,196.91,64.31,63.27,74.77
10,0,22,-77.23,-1.63,-39.35,64.31,63.27,74.77
10,0,23,-83.35,-450.7,-11.0,64.31,63.27,74.77
10,0,24,-85.08,-850.29,6.94,64.31,63.27,74.77
10,0,25,-140.03,-945.16,118.2,64.31,63.27,74.77
10,0,26,-60.27,550.07,42.08,64.31,63.27,74.77
10,0,27,-67.44,594.45,51.17,64.31,63.27,74.77
10,0,28,-30.88,632.79,54.84,64.31,63.27,74.77
10,0,29,67.98,632.8,26.34,64.31,63.27,74.77
10,0,30,-70.1,634.36,16.24,64.31,63.27,74.77
10,0,31,-43.13,637.23,-83.01,64.31,63.27,74.77
10,0,32,87.12,-948.6,54.54,64.31,63.27,74.77
10,0,33,-67.33,-951.86,-24.17,64.31,63.27,74.77
11,0,0,0.0,0.0,0.0,63.83,64.23,75.5
11,0,1,3.4,144.25,-11.24,63.83,64.23,75.5
11,0,2,7.0,288.5,-22.39,63.83,64.23,75.5
11,0,3,10.6,432.75,-33.55,63.83,64.23,75.5
11,0,4,40.88,434.75,-8.19,63.83,64.23,75.5
11,0,5,131.7,438.38,68.13,63.83,64.23,75.5
11,0,6,55.75,226.95,109.57,63.83,64.23,75.5
11,0,7,-14.26,21.95,145.96,63.83,64.23,75.5
11,0,8,-28.26,-19.05,153.23,63.83,64.23,75.5
11,0,9,-56.27,-101.05,167.79,63.83,64.23,75.5
11,0,10,-80.08,-53.56,124.35,63.83,64.23,75.5
11,0,11,-19.64,432.33,-59.04,63.83,64.23,75.5
11,0,12,-110.46,428.69,-135.35,63.83,64.23,75.5
11,0,13,-250.78,262.85,-64.68,63.83,64.23,75.5
11,0,14,-197.6,474.82,-42.46,63.83,64.23,75.5
11,0,15,-186.96,517.21,-38.01,63.83,64.23,75.5
11,0,16,-165.69,602.0,-29.12,63.83,64.23,75.5
11,0,17,-142.24,547.05,4.64,63.83,64.23,75.5
11,0,18,76.57,1.33,40.25,63.83,64.23,75.5
11,0,19,66.14,-447.45,71.63,63.83,64.23,75.5
11,0,20,61.45,-846.96,90.83,63.83,64.23,75.5
11,0,21,4.42,-941.09,201.68,63.83,64.23,75.5
11,0,22,-76.57,-1.33,-40.25,63.83,64.23,75.5
11,0,23,-87.0,-450.11,-8.87,63.83,64.23,75.5
11,0,24,-91.69,-849.63,10.33,63.83,64.23,75.5
11,0,25,-148.72,-943.75,121.18,63.83,64.23,75.5
11,0,26,-50.82,551.69,38.24,63.83,64.23,75.5
11,0,27,-57.06,596.3,46.96,63.83,64.23,75.5
11,0,28,-19.86,634.15,48.93,63.83,64.23,75.5
11,0,29,78.04,632.34,17.23,63.83,64.23,75.5
11,0,30,-60.29,635.8,11.6,63.83,64.23,75.5
11,0,31,-36.53,637.0,-88.53,63.83,64.23,75.5
11,0,32,78.9,-948.76,60.28,63.83,64.23,75.5
11,0,33,-74.24,-951.42,-20.22,63.83,64.23,75.5
12,0,0,0.0,0.0,0.0,63.28,63.99,75.24
12,0,1,5.07,144.05,-13.48,63.28,63.99,75.24
12,0,2,10.88,288.1,-26.61,63.28,63.99,75.24
12,0,3,16.7,432.15,-39.74,63.28,63.99,75.24
12,0,4,46.83,434.06,-14.18,63.28,63.99,75.24
